timestamp,applied,status,hash,old_path,new_path,note
2026-06-30T15:19:48+08:00,yes,rename,632B071D2D4CD2A7,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_存采访_ 《遇见主角》 遇见白鹿..._0.mp4,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_存采访_ 《遇见主角》 遇见白鹿..._0_632B071D2D4CD2A7.mp4,
2026-06-30T15:19:48+08:00,yes,rename,D7D09E8BBBF9AD17,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-08 010614.jpg,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-08 010614_D7D09E8BBBF9AD17.jpg,
2026-06-30T15:19:48+08:00,yes,rename,D5DF872F6FEA8C62,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_【白鹿】210922 《搜狗娱乐..._0.mp4,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_【白鹿】210922 《搜狗娱乐..._0_D5DF872F6FEA8C62.mp4,
2026-06-30T15:19:48+08:00,yes,rename,17E18B6A673FC1E7,F:\260629_客户补充物料\影视作品及高光片段\招摇\VID_20251227_003346.mp4,F:\260629_客户补充物料\影视作品及高光片段\招摇\VID_20251227_003346_17E18B6A673FC1E7.mp4,
2026-06-30T15:19:48+08:00,yes,rename,2C4BF56B99DFBEC8,F:\260629_客户补充物料\获奖视频\2025奖项\4. 亚洲影艺创意大奖获奖证书.png,F:\260629_客户补充物料\获奖视频\2025奖项\4. 亚洲影艺创意大奖获奖证书_2C4BF56B99DFBEC8.png,
2026-06-30T15:19:48+08:00,yes,rename,86DD207AE8D6585B,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\阿妩小狐狸&摔打不死心愿得成.mov,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\阿妩小狐狸&摔打不死心愿得成_86DD207AE8D6585B.mov,
2026-06-30T15:19:48+08:00,yes,rename,B759F5174BBA168B,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\微博之夜发言录屏.mov,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\微博之夜发言录屏_B759F5174BBA168B.mov,
2026-06-30T15:19:48+08:00,yes,rename,1B0F2F047865ECD1,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144324.heic,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144324_1B0F2F047865ECD1.heic,
2026-06-30T15:19:48+08:00,yes,rename,57DA2E22DDEA8A99,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-08 010619.jpg,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-08 010619_57DA2E22DDEA8A99.jpg,
2026-06-30T15:19:48+08:00,yes,rename,4877C00602A86781,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\第一套 黑裙\2024-11-07 144042.jpg,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\第一套 黑裙\2024-11-07 144042_4877C00602A86781.jpg,
